"gr33n";2138;"b1.3";"00:04:38 - 26/12/2014"
"gr33n";10844;"b1.3";"17:15:01 - 26/12/2014"
"gr33n";9019;"b1.3";"17:46:26 - 26/12/2014"
"gr33n";922;"b1.3";"19:24:40 - 28/12/2014"
"paccao";5850;"b1.3";"20:13:20 - 28/12/2014"
"gr33n";90;"b1.4";"23:50:23 - 28/12/2014"
"Joel";350;"b1.4";"00:03:28 - 29/12/2014"
"Joel";0;"b1.4";"00:05:04 - 29/12/2014"
"JOELISMAD";1961;"b1.4";"00:17:48 - 29/12/2014"
"Walnut";6869;"b1.4";"00:38:28 - 29/12/2014"
"gr33n";500;"b1.4";"00:48:58 - 29/12/2014"
"gr33n";552;"b1.4";"23:16:46 - 30/12/2014"
"gr33n";0;"b1.4";"00:41:16 - 31/12/2014"
"gr33n";0;"b1.5";"11:54:30 - 31/12/2014"
"LoisElsa";1503;"b1.5";"16:18:57 - 31/12/2014"
"bob";1600;"b1.5";"11:35:12 - 09/01/2015"
"bob";0;"b1.5";"11:42:15 - 09/01/2015"
"Ezzaplump";0;"b1.5";"17:36:20 - 07/02/2015"
"Sebbes Remote";350;"b1.5";"21:47:07 - 24/02/2015"
"Sören (GER)";0;"b1.5";"11:30:02 - 21/04/2015"
"gr33n";84;"b1.5";"10:23:12 - 11/05/2015"
"Pippo";100;"b1.5";"17:29:23 - 14/05/2015"
"Lant";0;"b1.5";"17:31:28 - 14/05/2015"
"Lant";2234;"b1.5";"17:57:21 - 14/05/2015"
"gr33n";777;"b1.5";"18:48:40 - 17/05/2015"
"gr33n";9134;"b1.5";"19:09:37 - 17/05/2015"
"gr33n";7821;"b1.5";"18:34:46 - 30/08/2015"
"Wizard No.1";3900;"b1.5";"00:17:29 - 10/07/2016"
